broker_name,broker_domain,broker_url,country_or_primary_market,relationship_status,confidence_score,trading_central_products,integration_type,evidence_summary,primary_evidence_url,primary_evidence_title,primary_evidence_date,additional_evidence_urls,first_evidence_date,most_recent_evidence_date,relationship_description,relationship_type,source_type,evidence_excerpt,broker_group,broker_brand,research_notes,date_checked
T4Trade,t4trade.com,https://www.t4trade.com,Global (Portuguese-language evidence),CONFIRMED_ACTIVE,76,Trading Central (unspecified),UNKNOWN,T4Trade's own Portuguese-language 'Forex Broker' educational page lists Trading Central among its broker features/offerings.,https://www.t4trade.com/pt/forex-broker/,Forex Broker - T4Trade,,,,2026,T4Trade lists Trading Central among its broker offerings on its Portuguese-language site.,PRODUCT_INTEGRATION,Broker website (Portuguese-language page),"""Um corretor de forex compra e vende moedas em nome dos traders... Trading Central.""",T4Trade,T4Trade,Discovered via multilingual (Portuguese) search sweep; the exact product/integration mechanism wasn't visible in the search snippet — recommend a full page scrape as follow-up.,2026-09-01
Taurex,tradetaurex.com,https://www.tradetaurex.com,Global,CONFIRMED_ACTIVE,82,Economic Insight,ECONOMIC_CALENDAR; BROKER_WEB_PLATFORM,Taurex's own dedicated page offers Trading Central's Economic Insight tool for monitoring and acting on market-moving economic events.,https://www.tradetaurex.com/economic-insight/,Unlock Economic Insights with Trading Central Tools - Taurex,,,,2026,Taurex offers Trading Central's Economic Insight tool to clients.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Monitor, anticipate, and act on market-moving economic events with Trading Central's award-winning tool, Economic Insights.""",Taurex,Taurex,Discovered via multilingual (Vietnamese-query results) search sweep.,2026-09-02
TD Direct Investing (TD Waterhouse),td.com,https://www.td.com,Canada,CONFIRMED_ACTIVE,83,Recognia Technical Insight; Technical Events Screener; Technical Alerts; Trading Central (named directly on a separate TD page),RESEARCH_PORTAL; BROKER_WEB_PLATFORM,"TD's live markets-and-research page (data current as of June 2026) attributes Technical Insight, Technical Events Screener and Technical Alerts to Recognia; a separate current TD comparison article lists 'Trading Central' directly among research tools on its trading platforms.",https://www.td.com/ca/en/investing/markets-research,Markets & Research | TD Direct Investing,2026-06,https://www.td.com/ca/en/investing/direct-investing/articles/best-trading-platform,pre-2014 (Recognia era),2026-06,"TD Direct Investing continues to offer Recognia-branded technical-analysis tools, and a separate current TD article names Trading Central directly among the research tools available on Canadian trading platforms.",CUSTOMER,Broker website (live pages),"""Available through Recognia, features such as Technical Insight (TM), Technical Events (R) Screener and Technical Alerts...""",TD Direct Investing (TD Waterhouse),TD Direct Investing (TD Waterhouse),,2026-09-01
ThinkMarkets,thinkmarkets.com,https://www.thinkmarkets.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,78,Trading Central (unspecified product mix),UNKNOWN,A Chinese-language third-party guide (jyforex.com) explicitly states ThinkMarkets (智匯) offers Trading Central and pays a recurring fee so clients can use it for free; no English-language own-site confirmation was found in this pass.,https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,https://jyforex.com/what-is-trading-central/,2026-08-28,2026-08-28,ThinkMarkets is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",ThinkMarkets,ThinkMarkets,Non-English third-party corroboration found; still recommend a direct check of thinkmarkets.com's own tools pages for a first-party confirmation.,2026-09-01
Titan FX,titanfx.com,https://www.titanfx.com,Vanuatu / global,CONFIRMED_ACTIVE,87,Trading Central (platform-wide),BROKER_WEB_PLATFORM,Titan FX's own news announcement 'Trading Central Tools Now Available!' and its Tools/Trading Conditions pages confirm a direct partnership with Trading Central.,https://titanfx.com/news/trading-central,Trading Central Tools Now Available! - Titan FX,,https://titanfx.com/tools; https://www.titanfx.com/eu/trading-conditions,,2026,Titan FX has partnered with Trading Central and lists it as a platform-wide tool across regional sites.,PRODUCT_INTEGRATION,Broker website (news announcement + tools/conditions pages),"""Titan FX has partnered with Trading Central, the world leader in financial market research and investment analysis.""",Titan FX,Titan FX,Discovered while spot-verifying the brokersome.com directory listing.,2026-09-02
TMGM,tmgm.com,https://www.tmgm.com,"Australia (Asia-Pacific, global)",CONFIRMED_ACTIVE,86,Analyst Views; Trading Central Newsletter,RESEARCH_PORTAL; EDUCATIONAL_CONTENT,"TMGM's own dedicated page confirms clients 'now have access to Trading Central products', including a daily newsletter with analysis and trading plans.",https://www.tmgm.com/en-au/trading-central,Trading Central & TMGM,,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,TMGM clients get access to Trading Central's Analyst Views and a daily Trading Central newsletter.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""TMGM Clients now have access to Trading Central products.""",TMGM,TMGM,,2026-09-01
TNFX,tnfx.co,https://www.tnfx.co,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists TNFX as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,TNFX is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""TNFX"" row, 'Trading Central' column, brokersome.com comparison table.",TNFX,TNFX,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
TopFX,topfx.com,https://www.topfx.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,74,Trading Central (unspecified product mix),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists TopFX among brokers offering Trading Central.,https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,,2026-08-28,2026-08-28,TopFX is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",TopFX,TopFX,Named only in ForexBrokers.com's generic alphabetical list without broker-specific product detail; no independent broker-site confirmation obtained in this pass — recommend a direct scrape as a follow-up validation pass.,2026-09-01
Trade360,trade360.com,https://www.trade360.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,74,Trading Central (unspecified product mix),UNKNOWN,ForexBrokers.com's independently maintained broker database (dated 2026-08-28) lists Trade360 among brokers offering Trading Central.,https://www.forexbrokers.com/guides/trading-central-brokers,Best Trading Central Forex Brokers for 2026 - ForexBrokers.com,2026-08-28,Also independently named by Forex Peace Army per agent research,2026-08-28,2026-08-28,Trade360 is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Established industry publication (ForexBrokers.com independent broker database),"Listed in ForexBrokers.com's alphabetical list: ""Of the 60+ brokers in our independent database, here are the forex brokers and CFD brokers that offer Trading Central.""",Trade360,Trade360,Named only in ForexBrokers.com's generic alphabetical list without broker-specific product detail; no independent broker-site confirmation obtained in this pass — recommend a direct scrape as a follow-up validation pass.,2026-09-01
TradeAll (Ak Yatırım),tradeall.com,https://www.tradeall.com,Turkey,CONFIRMED_ACTIVE,80,Trading Central signal/analysis software (Meta FX integration),MT4; MT5,"TradeAll's (Ak Yatırım, a Turkish investment firm) own announcements page describes Trading Central as a signal- and analysis-generating software integrated via its 'TradeAll Meta FX' platform.",https://www.tradeall.com/duyurular.aspx,Duyurular - TradeAll | Ak Yatırım,,,,2026,"TradeAll (Ak Yatırım, Turkey) integrates Trading Central signal/analysis software into its Meta FX platform.",PRODUCT_INTEGRATION,Broker website (Turkish-language announcements page),"""Trading Central, Forex piyasasında işlem yapan yatırımcılara gün içerisinde sinyal ve analiz üreten bir yazılım programıdır.""",TradeAll (Ak Yatırım),TradeAll (Ak Yatırım),Discovered via multilingual (Turkish) search sweep.,2026-09-02
TraderTok,tradertok.com,https://www.tradertok.com,Global (incl. Singapore-localized site),CONFIRMED_ACTIVE,85,Technical Insights; Signals,BROKER_WEB_PLATFORM,TraderTok runs a dedicated 'Trading Central Technical Insights & Signals' page (with a Singapore-localized mirror) plus references it on its main trading-platform and education-hub pages.,https://tradertok.com/trading-central,Trading Central Technical Insights & Signals - TraderTok,,https://sg.tradertok.com/trading-central; https://tradertok.com/trading-platform,,2026,TraderTok integrates Trading Central technical insights and signals across its platform.,PRODUCT_INTEGRATION,"Broker website (dedicated page, incl. regional mirror)","""Trading Central is a state-of-the-art market analysis and research suite that combines cutting-edge AI technology with the expertise of seasoned financial [analysts].""",TraderTok,TraderTok,Discovered via multilingual (Vietnamese-query results) search sweep.,2026-09-02
Trading.com (US),trading.com,https://www.trading.com,United States,CONFIRMED_ACTIVE,78,Trade Signals; Support and Resistance levels; Technical Commentary,BROKER_WEB_PLATFORM,"FXEmpire's broker comparison page states Trading.com's WebTrader platform provides directional bias, pivot points and key support/resistance levels from Trading Central.",https://www.fxempire.com/brokers/best/trading-central,Best Brokers offering Trading Central - FXEmpire,2026,,,2026,"Trading.com's WebTrader platform surfaces Trading Central trade signals, support/resistance levels and technical commentary per FXEmpire's broker guide.",PRODUCT_INTEGRATION,Established industry publication (FXEmpire),"""Trade Signals, Support and Resistance levels, Technical Commentary available via Trading Central.""",Trading.com (US),Trading.com (US),Not yet independently verified on trading.com's own site.,2026-09-01
TradingPRO,tradingpro.com,https://www.tradingpro.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists TradingPRO as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,TradingPRO is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""TradingPRO"" row, 'Trading Central' column, brokersome.com comparison table.",TradingPRO,TradingPRO,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Tradu,tradu.com,https://www.tradu.com,Global (Malaysia-localized evidence),CONFIRMED_ACTIVE,82,Market insights and trading signals; Economic calendar,BROKER_WEB_PLATFORM; ECONOMIC_CALENDAR,Tradu's own 'Intelligent Tools' page (Malaysia locale) lists Trading Central for 'market insights and trading signals'; a separate social post describes Tradu's economic calendar as 'powered by Trading Central'.,https://www.tradu.com/my/intelligent-tools/,Intelligent trading tools - Tradu,,https://www.facebook.com/dooprimeafrica/posts/meet-your-market-co-pilot-with-d-prime-trading-central-access-real-time-market-d/1007004708829941/,,2026,"Tradu, StoneX Group's multi-asset retail trading brand, lists Trading Central among its intelligent trading tools for market insights, signals and its economic calendar.",PRODUCT_INTEGRATION,Broker website (localized product page),"""Trading Central — Market insights and trading signals.""",StoneX Group Inc.,Tradu,Distinct StoneX-owned consumer brand from 'StoneX Trading' (formerly City Index) and 'FOREX.com' — kept as a separate row per materially distinct branded integration.,2026-09-01
Ultima Markets,ultimamarkets.com,https://www.ultimamarkets.com,Global,CONFIRMED_ACTIVE,84,Technical Views; Alpha Generation; Newsletter; News Brief,MT4; MT5; RESEARCH_PORTAL,"Ultima Markets' own dedicated page lists technical analysis tools, chart signals, and market insights 'powered by Trading Central'.",https://www.ultimamarkets.com/trading-central/,Trading Central Tools | Ultima Markets,,,,2026,"Ultima Markets provides its clients Trading Central technical-analysis tools, chart signals and market insights.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""Access technical analysis tools, chart signals, and market insights powered by Trading Central.""",Ultima Markets,Ultima Markets,,2026-09-01
Vantage (Vantage Markets),vantagemarkets.com,https://www.vantagemarkets.com,Not specified by cited source (global forex/CFD broker),CONFIRMED_ACTIVE,90,Daily Trading Signals; Technical/chartist analysis,UNKNOWN,"Vantage's own partners page describes Trading Central as serving 'over 100 financial institutions across 30+ countries', and runs dedicated Trading Central signal-promotion pages across multiple regional sites (ES, LATAM, AU).",https://www.vantagemarkets.com/about/our-partners,Our Trading Partners & Technology Integrations - Vantage Markets,2026-08-28,https://www.vantagemarkets.com/analysis/trading-signal; https://plus.vantagemarkets.com/about-us/our-partners,2026-08-28,2026,Vantage (Vantage Markets) is named in ForexBrokers.com's curated list of forex/CFD brokers offering Trading Central; not yet corroborated on the broker's own site.,PRODUCT_INTEGRATION,Broker website (partners page + regional signal pages),"""Trading Central, a leading provider of impartial technical analysis for professionals, serves over 100 financial institutions across 30+ countries.""",Vantage (Vantage Markets),Vantage (Vantage Markets),,2026-09-01
VCG Markets,vcgmarkets.com,https://www.vcgmarkets.com,Global,CONFIRMED_ACTIVE,85,TC Market Buzz (Newsdesk),BROKER_WEB_PLATFORM,VCGMarkets.com runs a dedicated 'Market Buzz | Newsdesk' page describing TC Market Buzz's aggregation of international financial news.,https://vcgmarkets.com/en/market-buzz,Market Buzz | Newsdesk | VCGMarkets.com,,,,2026,VCG Markets integrates TC Market Buzz as a dedicated newsdesk feature for its clients.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""TC Market Buzz gathers extensive international news, providing investors with a comprehensive overview of current financial trends.""",VCG Markets,VCG Markets,,2026-09-01
VT Markets,vtmarkets.com,https://www.vtmarkets.com,Global,CONFIRMED_ACTIVE,85,Technical Views / market analysis,MOBILE_APP; BROKER_WEB_PLATFORM,"VT Markets' own FAQ page states its mobile app provides 'market analysis powered by Trading Central', giving access to technical views on major forex pairs.",https://www.vtmarkets.com/faq/why-vt-markets-is-the-best-forex-trading-app/,Why VT Markets is the Best Forex Trading App,,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,VT Markets' trading app surfaces Trading Central technical views for major forex pairs.,PRODUCT_INTEGRATION,Broker website (own FAQ),"""The VT Markets app provides market analysis powered by Trading Central.""",VT Markets,VT Markets,,2026-09-01
Webull,webull.com,https://www.webull.com,United States (global),CONFIRMED_ACTIVE,93,"Technical Insight; TC Corporate Calendar; Panoramic View (Webull-branded bundle); Quant UCITS ETF (index licensing, separate)",BROKER_WEB_PLATFORM; MOBILE_APP; EDUCATIONAL_CONTENT,Webull's own help center states 'Technical Analysis provided by Trading Central' and its education/course pages and news feed reference multiple current Trading Central products.,https://www.webull.com/help/faq/10689-An-Overall-Description-of-TC,An Overall Description of TC,,https://www.prnewswire.com/news-releases/webull-launches-trading-central-panoramic-view-301260734.html; https://www.webull.com/news/15316529016431616; https://www.webull.com/learn/courseware/hlfnx1/Optimizing-Trading-Decisions-with-Trading-Central-Tools,2021-04-01 (PR Newswire: Webull Launches Trading Central Panoramic View),2026 (TC Corporate Calendar article syndicated on webull.com/news),Webull embeds Trading Central technical-analysis content ('Panoramic View') across its watchlist/help center and syndicates Trading Central product-launch news and educational webinars.,PRODUCT_INTEGRATION,"Broker website (help center, own news feed)","""Technical Analysis provided by Trading Central is the study of price...""",Webull,Webull,,2026-09-01
Windsor Brokers,windsorbrokers.com,https://www.windsorbrokers.com,Cyprus (global),CONFIRMED_ACTIVE,85,Trading Central analytics (technical + news),BROKER_WEB_PLATFORM,Windsor Brokers' own dedicated Trading Central tools page (with a July-2025-dated image asset) describes real-time insights combining technology and expert market commentary.,https://windsorbrokers.com/tools/trading-central/,Trading Central - Windsor Brokers,2025-07,,,2025-07,Windsor Brokers provides Trading Central's real-time market analytics as a client tool at no extra cost.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Windsor Brokers brings you one of the most powerful market tools for modern trading. Trading Central combines cutting-edge tech with expert market...""",Windsor Brokers,Windsor Brokers,,2026-09-01
Xlence,xlence.com,https://www.xlence.com,Cyprus / South Africa (global),CONFIRMED_ACTIVE,85,TC Market Buzz,BROKER_WEB_PLATFORM,Xlence's own dedicated 'TC Market Buzz' page describes AI-driven news and sentiment insights for traders.,https://www.xlence.com/en/trading-central/market-buzz/,TC Market Buzz | AI-Driven News & Sentiment Insights for Traders - Xlence,,,,2026,Xlence integrates TC Market Buzz for AI-driven news and sentiment analysis.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""TC Market Buzz uses AI to deliver news and sentiment insights, helping traders quickly spot trends and understand market sentiment.""",Xlence,Xlence,,2026-09-01
XM Group,xm.com,https://www.xm.com,Cyprus / Belize (global),CONFIRMED_ACTIVE,88,TC Market Buzz; Fundamental Insight,BROKER_WEB_PLATFORM,XM's own analytical-tools page offers free access to Trading Central's Market Buzz and Fundamental Insight upon opening an account.,https://www.xm.com/analytical-tools,Use Trading Central for Intelligent Analysis - XM,,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,XM Group provides free access to Trading Central's Market Buzz and Fundamental Insight tools to account holders.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Discover new market opportunities with Trading Central's award-winning tools ... XM offers you free access when you open an account.""",XM Group,XM Group,,2026-09-01
XPro Markets,xpromarkets.com,https://www.xpromarkets.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists XPro Markets as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,XPro Markets is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""XPro Markets"" row, 'Trading Central' column, brokersome.com comparison table.",XPro Markets,XPro Markets,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
